Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1997,Erie,Buffalo,92,0,322,0,414,31,445,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Buffalo,16,0,296,0,312,38,350,
1999,Erie,Buffalo,26,0,258,0,284,41,325,
2000,Erie,Buffalo,28,,162,,190,27,217,Canadian data is processor weight
2001,Erie,Buffalo,24.393,,258,,282.393,33,315.393,Canadian data is processor weight
2002,Erie,Buffalo,45.367,282,,,327.367,30,357.367,Canadian data is landed weight
2003,Erie,Buffalo,9.35,,279,,288.35,41,329.35,Canadian data is landed weight
2004,Erie,Buffalo,18.883,,223,,241.883,,241.883,
2005,Erie,Buffalo,96.621,230,,,326.621,,326.621,
2006,Erie,Buffalo,85.269,,263,,348.269,,348.269,
2007,Erie,Buffalo,215.282,,269,,484.282,,484.282,
2008,Erie,Buffalo,142.726,,227,,369.726,,369.726,
2009,Erie,Buffalo,130.301,,372,,502.301,,502.301,
2010,Erie,Buffalo,68.511,,344,,412.511,0,412.511,
2011,Erie,Buffalo,107.61,,374.73,,482.34,,482.34,
2012,Erie,Buffalo,221.257,,308.828,,530.085,,530.085,
2013,Erie,Buffalo,164.345,,214.739,,379.084,,379.084,
2014,Erie,Buffalo,136.743,,255.454,,392.197,0,392.197,
2015,Erie,Buffalo,100.135,,224.515,,324.65,,324.65,
2016,Erie,Buffalo,73.119,,184.528,,257.647,,257.647,
2017,Erie,Buffalo,21.571,,174.445,,196.016,,196.016,
2018,Erie,Buffalo,11.182,,94.318,,105.5,,105.5,
2019,Erie,Buffalo,24.787,,225.744,,250.531,,250.531,
2020,Erie,Buffalo,4.22,,213.392,,217.612,,217.612,
1913,Erie,Bullheads,,,48,,48,,48,OH: Records cover only part of season.
1914,Erie,Bullheads,,,185,,185,,185,
1915,Erie,Bullheads,,,186,,186,,186,
1916,Erie,Bullheads,,,453,,453,,453,
1917,Erie,Bullheads,,,139,,139,,139,
1918,Erie,Bullheads,,,133,,133,,133,
1919,Erie,Bullheads,39,,489,,528,,528,
1920,Erie,Bullheads,45,,128,,173,,173,
1921,Erie,Bullheads,12,,211,,223,,223,
1922,Erie,Bullheads,43,,109,,152,,152,
1923,Erie,Bullheads,,,107,,107,,107,
1924,Erie,Bullheads,2,,26,,28,,28,
1925,Erie,Bullheads,5,,,,5,,5,
1926,Erie,Bullheads,20,,,,20,,20,
1927,Erie,Bullheads,,,,,,,,
1928,Erie,Bullheads,21,,15,,36,,36,
1929,Erie,Bullheads,48,,13,,61,,61,
1930,Erie,Bullheads,57,,67,,124,,124,
1931,Erie,Bullheads,182,,197,,379,,379,
1932,Erie,Bullheads,160,,185,,345,,345,
1933,Erie,Bullheads,64,,,,64,,64,
1934,Erie,Bullheads,55,,,,55,,55,
1935,Erie,Bullheads,44,,68,,112,,112,
1936,Erie,Bullheads,24,,,,24,,24,
1937,Erie,Bullheads,33,,,,33,,33,
1938,Erie,Bullheads,30,,,,30,,30,
1939,Erie,Bullheads,36,,,,36,,36,
1940,Erie,Bullheads,43,,69,,112,,112,
1941,Erie,Bullheads,53,,,,53,,53,
1942,Erie,Bullheads,49,,,,49,,49,
1943,Erie,Bullheads,54,,,,54,,54,
1944,Erie,Bullheads,47,,,,47,,47,
1945,Erie,Bullheads,86,,,,86,,86,
1946,Erie,Bullheads,78,,319,,397,,397,
1947,Erie,Bullheads,49,,180,,229,,229,
1948,Erie,Bullheads,51,,104,,155,,155,
1949,Erie,Bullheads,40,,85,,125,,125,
1950,Erie,Bullheads,37,0,40,,77,,77,
1951,Erie,Bullheads,23,0,44,,67,,67,
1952,Erie,Bullheads,16,,58,,74,109,183,
1953,Erie,Bullheads,40,0,53,,93,113,206,
1954,Erie,Bullheads,72,,94,0,166,195,361,
1955,Erie,Bullheads,77,0,145,,222,186,408,
1956,Erie,Bullheads,91,0,113,0,204,213,417,
1957,Erie,Bullheads,52,,56,,108,182,290,
1958,Erie,Bullheads,33,0,53,1,87,122,209,
1959,Erie,Bullheads,11,0,48,0,59,62,121,
1960,Erie,Bullheads,6,0,38,0,44,38,82,
1961,Erie,Bullheads,9,,80,0,89,41,130,
1962,Erie,Bullheads,7,,113,0,120,54,174,
1963,Erie,Bullheads,4,0,121,0,125,63,188,
1964,Erie,Bullheads,5,,122,,127,34,161,
1965,Erie,Bullheads,7,,80,0,87,19,106,
1966,Erie,Bullheads,2,,55,0,57,8,65,
1967,Erie,Bullheads,1,0,27,,28,15,43,
1968,Erie,Bullheads,1,,25,0,26,15,41,
1969,Erie,Bullheads,1,0,35,0,36,19,55,
1970,Erie,Bullheads,0,0,25,0,25,42,67,
1971,Erie,Bullheads,9,0,36,0,45,45,90,
1972,Erie,Bullheads,,0,27,0,27,36,63,
1973,Erie,Bullheads,,,21,,21,70,91,
1974,Erie,Bullheads,0,,27,0,27,109,136,
1975,Erie,Bullheads,3,,31,0,34,119,153,
1976,Erie,Bullheads,1,,43,,44,97,141,
1977,Erie,Bullheads,9,,62,0,71,98,169,
1978,Erie,Bullheads,0,0,74,0,74,44,118,
1979,Erie,Bullheads,11,1,56,1,69,38,107,
1980,Erie,Bullheads,0,0,51,1,52,37,89,
1981,Erie,Bullheads,10,0,100,3,113,67,180,
1982,Erie,Bullheads,0,1,63,0,64,49,113,
1983,Erie,Bullheads,1,0,64,0,65,75,140,
1984,Erie,Bullheads,0,1,66,0,67,49,116,
1985,Erie,Bullheads,7,2,57,0,66,0,66,
1986,Erie,Bullheads,8,0,80,0,88,0,88,
1987,Erie,Bullheads,4,1,82,0,87,0,87,
1988,Erie,Bullheads,5,0,55,0,60,0,60,
1989,Erie,Bullheads,4,0,80,0,84,0,84,
1990,Erie,Bullheads,0,0,59,0,59,32,91,
1991,Erie,Bullheads,1,0,49,0,50,0,50,
1992,Erie,Bullheads,0,0,40,0,40,0,40,
1993,Erie,Bullheads,1,0,38,0,39,0,39,
1994,Erie,Bullheads,1,0,22,0,23,0,23,
1995,Erie,Bullheads,1,0,42,0,43,0,43,
1996,Erie,Bullheads,1,0,19,0.872,20.872,0,20.872,
1997,Erie,Bullheads,7,0,17,0.626,24.626,0,24.626,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Bullheads,21,0,18,0.972,39.972,5,44.972,
1999,Erie,Bullheads,71,0,25,0.619,96.619,79,175.619,
2000,Erie,Bullheads,2,,42,0.861,44.861,,44.861,Canadian data is processor weight
2001,Erie,Bullheads,1.197,,24,0.594,25.791,,25.791,
2002,Erie,Bullheads,6.5,23,0,0.018,29.518,,29.518,
2003,Erie,Bullheads,0.9,,22,0.03,22.93,,22.93,
2004,Erie,Bullheads,1.65,,10,0.286,11.936,1,12.936,Canadian data is landed weight
2005,Erie,Bullheads,5.495,17,1,0.868,24.363,1,25.363,Canadian data is landed weight
2006,Erie,Bullheads,7.277,,25,0.617,32.894,1,33.894,
2007,Erie,Bullheads,12.536,,26,0.362,38.898,0,38.898,
2008,Erie,Bullheads,31.969,,27,0.196,59.165,0,59.165,
2009,Erie,Bullheads,45.924,,32,0.018,77.942,0,77.942,
2010,Erie,Bullheads,47.612,,33,0,80.612,,80.612,
2011,Erie,Bullheads,57.67,,50.182,0,107.852,,107.852,
2012,Erie,Bullheads,24.45,0,24.14,0,48.59,23,71.59,
2013,Erie,Bullheads,8.6,,42.196,0,50.796,,50.796,
2014,Erie,Bullheads,7.556,0,19.799,0,27.355,,27.355,
2015,Erie,Bullheads,26.396,0,14.636,0,41.032,0.004,41.036,
2016,Erie,Bullheads,29.493,,26.117,0,55.61,,55.61,
2017,Erie,Bullheads,16.82,,6.108,0,22.928,0.028,22.956,
2018,Erie,Bullheads,4.645,,12.812,0,17.457,,17.457,
2019,Erie,Bullheads,14.703,,6.773,0,21.476,0.001,21.477,
2020,Erie,Bullheads,1.19,,5.555,0.03,6.775,,6.775,
1893,Erie,Burbot,,,,,32,,32,
1894,Erie,Burbot,,,,,,,,
1895,Erie,Burbot,,,,,,,,
1896,Erie,Burbot,,,,,,,,
1897,Erie,Burbot,,,,,,,,
1898,Erie,Burbot,,,,,,,,
1899,Erie,Burbot,1,0,0,,1,,1,
1900,Erie,Burbot,,,,,,,,
1901,Erie,Burbot,,,,,,,,
1902,Erie,Burbot,,,,,,,,
1903,Erie,Burbot,,,14,,14,,14,
1904,Erie,Burbot,,,,,,,,
1905,Erie,Burbot,,,,,,,,
1906,Erie,Burbot,,,,,,,,
1907,Erie,Burbot,,,,,,,,
1908,Erie,Burbot,,,100,47,147,,147,
1909,Erie,Burbot,,,,,,,,
1910,Erie,Burbot,,,,,,,,
1911,Erie,Burbot,,,,,,,,
1912,Erie,Burbot,,,,,,,,
1913,Erie,Burbot,,,40,2,42,,42,OH: Records cover only part of season.
1914,Erie,Burbot,,,104,5,109,,109,
1915,Erie,Burbot,,,44,2,46,,46,
1916,Erie,Burbot,,,237,10,247,,247,
1917,Erie,Burbot,,8,22,1,31,,31,
1918,Erie,Burbot,,9,331,15,355,,355,
1919,Erie,Burbot,1,31,389,17,438,,438,
1920,Erie,Burbot,0,45,355,16,416,,416,
1921,Erie,Burbot,0,,423,19,442,,442,
1922,Erie,Burbot,0,,251,11,262,,262,
1923,Erie,Burbot,6,,248,0,254,,254,
1924,Erie,Burbot,12,,130,,142,,142,
1925,Erie,Burbot,9,,,,9,,9,
1926,Erie,Burbot,7,,275,,282,,282,
1927,Erie,Burbot,1,,350,7,358,,358,
1928,Erie,Burbot,,6,400,4,410,,410,
1929,Erie,Burbot,,17,335,16,368,,368,
1930,Erie,Burbot,0,8,390,7,405,,405,
1931,Erie,Burbot,1,2,267,1,271,,271,
1932,Erie,Burbot,1,2,246,2,251,,251,
1933,Erie,Burbot,0,0,250,1,251,,251,
1934,Erie,Burbot,2,3,248,1,254,,254,
1935,Erie,Burbot,1,0,296,6,303,,303,
1936,Erie,Burbot,1,2,446,6,455,,455,
1937,Erie,Burbot,0,,358,12,370,,370,
1938,Erie,Burbot,0,0,234,28,262,,262,
1939,Erie,Burbot,0,2,338,38,378,,378,
1940,Erie,Burbot,0,2,338,31,371,,371,
1941,Erie,Burbot,0,2,484,25,511,,511,
1942,Erie,Burbot,0,1,346,27,374,,374,
1943,Erie,Burbot,,,375,3,378,,378,
1944,Erie,Burbot,0,0,238,,238,,238,
1945,Erie,Burbot,,0,363,8,371,,371,
1946,Erie,Burbot,,0,388,12,400,,400,
1947,Erie,Burbot,0,0,460,0,460,,460,
1948,Erie,Burbot,0,6,352,0,358,,358,
1949,Erie,Burbot,0,4,299,1,304,,304,
1950,Erie,Burbot,,14,219,2,235,,235,
1951,Erie,Burbot,0,6,178,0,184,,184,
1952,Erie,Burbot,,7,230,25,262,7,269,
1953,Erie,Burbot,0,5,148,24,177,28,205,
1954,Erie,Burbot,,9,91,19,119,14,133,
1955,Erie,Burbot,0,1,89,10,100,,100,
1956,Erie,Burbot,,6,103,11,120,,120,
1957,Erie,Burbot,0,2,145,16,163,3,166,
1958,Erie,Burbot,,6,111,42,159,,159,
1959,Erie,Burbot,,,41,19,60,,60,
1960,Erie,Burbot,,,22,2,24,7,31,
1961,Erie,Burbot,,0,6,1,7,,7,
1962,Erie,Burbot,,,2,0,2,,2,
1963,Erie,Burbot,0,0,0,2,2,2,4,
1964,Erie,Burbot,,,3,0,3,1,4,
1965,Erie,Burbot,0,,4,,4,1,5,
1966,Erie,Burbot,,,3,0,3,,3,
1967,Erie,Burbot,,,6,0,6,,6,
1968,Erie,Burbot,,,1,,1,,1,
1969,Erie,Burbot,,,0,,0,,0,
1970,Erie,Burbot,,0,0,,0,,0,
1971,Erie,Burbot,,0,,0,0,,0,
1972,Erie,Burbot,,0,,0,0,,0,
1973,Erie,Burbot,,,,,,,0,
1974,Erie,Burbot,,,,,,,0,
1975,Erie,Burbot,,,,1,1,,1,
1976,Erie,Burbot,,,,0,0,,0,
1977,Erie,Burbot,,,,,,,0,
1978,Erie,Burbot,0,0,0,0,0,0,0,
1979,Erie,Burbot,0,0,0,0,0,1,1,
1980,Erie,Burbot,0,0,0,2,2,0,2,
1981,Erie,Burbot,0,0,0,2,2,0,2,
1982,Erie,Burbot,0,0,0,0,0,0,0,
1983,Erie,Burbot,0,0,0,2,2,6,8,
1984,Erie,Burbot,0,0,0,1,1,1,2,
1985,Erie,Burbot,0,0,0,1,1,1,2,
1986,Erie,Burbot,0,0,0,3,3,2,5,
1987,Erie,Burbot,0,0,0,0,0,4,4,
1988,Erie,Burbot,0,0,0,1,1,0,1,
1989,Erie,Burbot,0,0,0,4,4,1,5,
1990,Erie,Burbot,0,0,0,15,15,2,17,
1991,Erie,Burbot,0,0,0,32,32,1,33,
1992,Erie,Burbot,0,1,0,19,20,6,26,
1993,Erie,Burbot,0,3,0,4,7,3,10,
1994,Erie,Burbot,0,3,0,12,15,7,22,
1995,Erie,Burbot,0,2,0,29,31,9,40,
1996,Erie,Burbot,0,4,0,2.262,6.262,9,15.262,
1997,Erie,Burbot,0,3,0,8.91,11.91,7,18.91,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Burbot,0,0,0,8.963,8.963,10,18.963,
1999,Erie,Burbot,0,1,0,7.943,8.943,33,41.943,
2000,Erie,Burbot,,0,,3.529,3.529,30,33.529,Canadian data is processor weight
2001,Erie,Burbot,,0,,4.359,4.359,6,10.359,Canadian data is processor weight
2002,Erie,Burbot,,,5,5.177,10.177,3,13.177,Canadian data is landed weight
2003,Erie,Burbot,,1,,1.821,2.821,2,4.821,Canadian data is landed weight
2004,Erie,Burbot,,1,,2.401,3.401,5,8.401,Canadian data is landed weight
2005,Erie,Burbot,,0,2,2.238,4.238,10,14.238,Canadian data is landed weight
2006,Erie,Burbot,,1,0,1.723,2.723,2,4.723,
2007,Erie,Burbot,,0,0,1.088,1.088,4,5.088,
2008,Erie,Burbot,,0,0,0.301,0.301,1,1.301,
2009,Erie,Burbot,,0,,0.609,0.609,4,4.609,
2010,Erie,Burbot,,1,,0.071,1.071,2,3.071,
2011,Erie,Burbot,,1,,0.017,1.017,2,3.017,
2012,Erie,Burbot,,1,0.153,0.238,1.391,0,1.391,
2013,Erie,Burbot,,0.299,0.082,0.024,0.405,0.243,0.648,
2014,Erie,Burbot,,,0.11,0.07,0.18,0.087,0.267,
2015,Erie,Burbot,,,0.238,0.499,0.737,0.13,0.867,
2016,Erie,Burbot,,0.364,0.243,0.119,0.726,0.11,0.836,
2017,Erie,Burbot,,,0.173,0.319,0.492,0.16,0.652,
2018,Erie,Burbot,,0.6,0.01,0.317,0.927,0.113,1.04,
2019,Erie,Burbot,,0.977,0.221,1.267,2.465,0.048,2.513,
2020,Erie,Burbot,,0.44,0.187,0.173,0.8,0.077,0.877,
1892,Erie,Carp,20,,,,20,,20,
1893,Erie,Carp,,,,,636,,636,
1894,Erie,Carp,226,,,,226,,226,
1895,Erie,Carp,,,,,,,,
1896,Erie,Carp,,,,,,,,
1897,Erie,Carp,,,,,,,,
1898,Erie,Carp,,,,,,,,
1899,Erie,Carp,195,10,3417,12,3634,,3634,
1900,Erie,Carp,,,,,,,,
1901,Erie,Carp,,,,,,,,
1902,Erie,Carp,,,,,,,,
1903,Erie,Carp,437,22,3058,30,3547,,3547,
1904,Erie,Carp,,,,,,,,
1905,Erie,Carp,,,,,,,,
1906,Erie,Carp,,,,,,,,
1907,Erie,Carp,,,,,,,,
1908,Erie,Carp,1684,16,7140,53,8893,90,8983,
1909,Erie,Carp,,,,,,312,312,
1910,Erie,Carp,,,,,,980,980,
1911,Erie,Carp,,,,,,645,645,
1912,Erie,Carp,718,,,,718,900,1618,
1913,Erie,Carp,384,40,1266,107,1797,375,2172,OH: Records cover only part of season.
1914,Erie,Carp,5590,74,6284,76,12024,1395,13419,
1915,Erie,Carp,2186,107,7250,71,9614,905,10519,
1916,Erie,Carp,1138,38,4631,51,5858,782,6640,
1917,Erie,Carp,1404,21,4314,55,5794,667,6461,
1918,Erie,Carp,1152,31,2978,11,4172,712,4884,
1919,Erie,Carp,876,24,2047,15,2962,378,3340,
1920,Erie,Carp,1685,71,2331,15,4102,432,4534,
1921,Erie,Carp,1661,65,4815,1,6542,345,6887,
1922,Erie,Carp,1914,59,1892,21,3886,234,4120,
1923,Erie,Carp,1236,59,1887,32,3214,286,3500,
1924,Erie,Carp,833,4,394,29,1260,289,1549,
1925,Erie,Carp,1201,,1097,,2339,244,2583,
1926,Erie,Carp,1150,2,3001,50,4203,197,4400,
1927,Erie,Carp,960,1,734,3,1698,197,1895,
1928,Erie,Carp,681,1,341,8,1031,215,1246,
1929,Erie,Carp,511,0,467,4,982,195,1177,
1930,Erie,Carp,631,21,1243,3,1898,278,2176,
1931,Erie,Carp,931,12,1459,2,2404,425,2829,
1932,Erie,Carp,1093,24,1790,7,2914,511,3425,
1933,Erie,Carp,779,,1284,4,2067,581,2648,
1934,Erie,Carp,527,18,1062,2,1609,610,2219,
1935,Erie,Carp,658,10,1279,3,1950,619,2569,
1936,Erie,Carp,679,0,2005,3,2687,361,3048,
1937,Erie,Carp,577,29,1544,3,2153,228,2381,
1938,Erie,Carp,709,38,1458,4,2209,374,2583,
1939,Erie,Carp,586,10,1843,5,2444,312,2756,
1940,Erie,Carp,461,1,2016,8,2486,298,2784,
1941,Erie,Carp,655,0,1895,4,2554,287,2841,
1942,Erie,Carp,764,0,1678,6,2448,235,2683,
1943,Erie,Carp,598,3,1625,6,2232,316,2548,
1944,Erie,Carp,599,2,1327,4,1932,191,2123,
1945,Erie,Carp,484,0,1668,1,2153,139,2292,
1946,Erie,Carp,539,,1340,1,1880,161,2041,
1947,Erie,Carp,444,0,1309,2,1755,170,1925,
1948,Erie,Carp,534,1,1059,2,1596,129,1725,
1949,Erie,Carp,555,0,1678,1,2234,163,2397,
1950,Erie,Carp,465,7,1406,1,1879,274,2153,
1951,Erie,Carp,672,,1559,0,2231,206,2437,
1952,Erie,Carp,893,,2108,1,3002,209,3211,
1953,Erie,Carp,1183,0,1793,0,2976,239,3215,
1954,Erie,Carp,1138,0,2618,1,3757,264,4021,
1955,Erie,Carp,900,,2407,1,3308,207,3515,
1956,Erie,Carp,711,0,2713,1,3425,329,3754,
1957,Erie,Carp,620,0,3146,1,3767,267,4034,
1958,Erie,Carp,997,0,3880,2,4879,265,5144,
1959,Erie,Carp,1042,2,2966,5,4015,390,4405,
1960,Erie,Carp,1341,0,3229,2,4572,304,4876,
1961,Erie,Carp,1298,0,3398,3,4699,252,4951,
1962,Erie,Carp,1276,,3487,1,4764,161,4925,
1963,Erie,Carp,833,0,2504,0,3337,195,3532,
1964,Erie,Carp,636,0,2274,0,2910,187,3097,
1965,Erie,Carp,806,0,2384,,3190,152,3342,
1966,Erie,Carp,929,0,2773,,3702,90,3792,
1967,Erie,Carp,485,2,2556,0,3043,51,3094,
